Equipo,Estadio,Cidade,Asistencia,Capacidade
Real Madrid,Santiago Bernabéu,Madrid,70000,81044
FC Barcelona,Estadi Olímpic,Barcelona,50000,55000
Sevilla FC,Ramón Sánchez-Pizjuán,Sevilla,35000,43883
Athletic Club,San Mamés,Bilbao,42000,53289
Atlético Madrid,Wanda Metropolitano,Madrid,68000,68000
Real Betis,Benito Villamarín,Sevilla,50000,60000
Valencia CF,Mestalla,Valencia,46000,55000
Villarreal CF,Estadio de la Cerámica,Villarreal,24000,25000
Granada CF,Nuevo Los Cármenes,Granada,22000,22500
Celta de Vigo,Abanca-Balaídos,Vigo,29000,30000
Real Sociedad,Anoeta,San Sebastián,32000,39000
Getafe CF,Coliseum Alfonso Pérez,Getafe,17000,17000
Espanyol,RCDE Stadium,Barcelona,29000,40000
Alavés,Mendizorroza,Vitoria,19000,19800
Osasuna,El Sadar,Pamplona,23000,23600
