Cidade,Data,Temperatura,Condición
Madrid,2025-04-01,19.1,Nubes
Madrid,2025-04-02,15.0,Nubes
Madrid,2025-04-03,14.1,Nubes
Madrid,2025-04-04,11.9,Despexado
Madrid,2025-04-05,16.4,Nubes
Madrid,2025-04-06,18.2,Sol
Madrid,2025-04-07,14.1,Despexado
Barcelona,2025-04-01,13.4,Despexado
Barcelona,2025-04-02,22.1,Nubes
Barcelona,2025-04-03,18.1,Nubes
Barcelona,2025-04-04,16.7,Sol
Barcelona,2025-04-05,14.1,Despexado
Barcelona,2025-04-06,21.7,Nubes
Barcelona,2025-04-07,21.5,Despexado
Sevilla,2025-04-01,16.5,Sol
Sevilla,2025-04-02,20.8,Sol
Sevilla,2025-04-03,11.9,Despexado
Sevilla,2025-04-04,10.1,Choiva
Sevilla,2025-04-05,22.4,Despexado
Sevilla,2025-04-06,17.6,Nubes
Sevilla,2025-04-07,20.9,Sol
Bilbao,2025-04-01,17.6,Despexado
Bilbao,2025-04-02,10.9,Despexado
Bilbao,2025-04-03,22.0,Despexado
Bilbao,2025-04-04,12.9,Choiva
Bilbao,2025-04-05,14.3,Nubes
Bilbao,2025-04-06,18.8,Nubes
Bilbao,2025-04-07,10.2,Choiva
Valencia,2025-04-01,10.7,Choiva
Valencia,2025-04-02,12.0,Nubes
Valencia,2025-04-03,12.1,Despexado
Valencia,2025-04-04,19.7,Nubes
Valencia,2025-04-05,22.5,Despexado
Valencia,2025-04-06,18.7,Nubes
Valencia,2025-04-07,13.3,Nubes
Vigo,2025-04-01,24.9,Choiva
Vigo,2025-04-02,20.3,Sol
Vigo,2025-04-03,17.1,Nubes
Vigo,2025-04-04,21.7,Nubes
Vigo,2025-04-05,12.0,Despexado
Vigo,2025-04-06,18.7,Despexado
Vigo,2025-04-07,18.7,Sol
Granada,2025-04-01,13.2,Nubes
Granada,2025-04-02,15.7,Sol
Granada,2025-04-03,12.7,Nubes
Granada,2025-04-04,21.7,Despexado
Granada,2025-04-05,21.5,Choiva
Granada,2025-04-06,18.1,Sol
Granada,2025-04-07,20.0,Choiva
San Sebastián,2025-04-01,13.4,Choiva
San Sebastián,2025-04-02,14.0,Nubes
San Sebastián,2025-04-03,15.9,Choiva
San Sebastián,2025-04-04,20.7,Sol
San Sebastián,2025-04-05,14.4,Sol
San Sebastián,2025-04-06,15.9,Choiva
San Sebastián,2025-04-07,16.8,Despexado
