Customer ID,Monetary,Frequency,Recency,Cluster,Segment
1,53,1,36,3,Clientes VIP
2,64,1,48,3,Clientes VIP
3,73,1,27,3,Clientes VIP
4,90,1,1,2,Clientes en Riesgo
5,49,1,19,1,Clientes Leales
6,20,1,36,1,Clientes Leales
7,85,1,1,2,Clientes en Riesgo
8,34,1,31,1,Clientes Leales
9,97,1,42,3,Clientes VIP
10,31,1,46,1,Clientes Leales
11,34,1,24,1,Clientes Leales
12,68,1,40,3,Clientes VIP
13,72,1,13,0,Clientes Ocasionales
14,51,1,19,0,Clientes Ocasionales
15,53,1,16,0,Clientes Ocasionales
16,81,1,42,3,Clientes VIP
17,36,1,6,2,Clientes en Riesgo
18,38,1,14,1,Clientes Leales
19,48,1,33,3,Clientes VIP
20,90,1,4,0,Clientes Ocasionales
21,51,1,0,2,Clientes en Riesgo
22,62,1,28,3,Clientes VIP
23,37,1,18,1,Clientes Leales
24,88,1,10,0,Clientes Ocasionales
25,22,1,34,1,Clientes Leales
26,25,1,36,1,Clientes Leales
27,20,1,37,1,Clientes Leales
28,56,1,43,3,Clientes VIP
29,94,1,9,0,Clientes Ocasionales
30,48,1,36,3,Clientes VIP
31,31,1,34,1,Clientes Leales
32,79,1,5,0,Clientes Ocasionales
33,67,1,13,0,Clientes Ocasionales
34,38,1,5,2,Clientes en Riesgo
35,91,1,12,0,Clientes Ocasionales
36,33,1,2,2,Clientes en Riesgo
37,69,1,6,0,Clientes Ocasionales
38,45,1,40,1,Clientes Leales
39,37,1,6,2,Clientes en Riesgo
40,60,1,32,3,Clientes VIP
41,76,1,19,0,Clientes Ocasionales
42,39,1,10,1,Clientes Leales
43,100,1,35,3,Clientes VIP
44,69,1,31,3,Clientes VIP
45,53,1,5,2,Clientes en Riesgo
46,21,1,25,1,Clientes Leales
47,43,1,5,2,Clientes en Riesgo
48,54,1,14,0,Clientes Ocasionales
49,55,1,12,0,Clientes Ocasionales
50,30,1,16,1,Clientes Leales
51,28,1,11,1,Clientes Leales
52,59,1,43,3,Clientes VIP
53,20,1,24,1,Clientes Leales
54,24,1,15,1,Clientes Leales
55,94,1,15,0,Clientes Ocasionales
56,28,1,1,2,Clientes en Riesgo
57,73,1,4,2,Clientes en Riesgo
58,64,1,33,3,Clientes VIP
59,54,1,21,3,Clientes VIP
60,79,1,46,3,Clientes VIP
61,37,1,33,1,Clientes Leales
